livsmedel,calorie,protein,carb,fat
Grönsaksbiff stekt veg.,117,4.7,10.3,5.4
Grönsallat m. vinägrettsås,130,0.9,2.6,12.9
Sallad m. grönsallat gurka tomat vinägrettsås,113,0.8,2.6,11.0
Grönsallat m. gräddfilsås,175,1.7,4.1,17.1
Sallad m. grönsallat gurka tomat gräddfilsås,159,1.5,3.9,15.3
Sallad m. grönsallat gurka tomat paprika u. dressing,17,0.8,2.6,0.1
Gurka inlagd m. lag hemlagad,42,0.7,9.5,0.0
Lök stekt m. olja el. flytande margarin salt,53,1.4,8.2,1.2
Löksås,115,1.1,10.7,7.4
Lök gul kokt m. salt,39,1.2,7.3,0.1
Nässelsoppa,38,1.3,1.7,2.7
Paprika förvälld,28,0.6,5.0,0.2
Purjolök kokt m. salt,30,1.6,4.1,0.1
Rödkål tillagad,61,0.8,8.3,2.2
Sparris stuvad,59,2.8,5.0,2.7
Spenat fräst m. olja el. flytande margarin salt,28,2.8,0.6,1.0
Spenat stuvad,54,2.5,2.3,3.6
Champinjon stekt m. salt,45,3.0,3.4,1.5
Champinjon stuvad,166,3.4,5.9,14.3
Champinjonsås hemlagad,129,2.1,4.7,11.2
Tomatsallad m. vinägrett,54,0.8,2.7,4.2
Tomatsås italiensk,93,1.1,4.9,7.4
Tomatsalsa kall,22,1.0,3.4,0.1
Vitkålssoppa tillagad veg.,32,0.8,2.6,1.8
Vitkål kokt m. salt,30,1.1,4.7,0.1
Brunkål,48,1.3,7.0,1.0
Vitkålssallad pizzasallad,88,0.9,4.1,7.2
Vitkålssallad m. lingonsylt,61,0.9,12.8,0.1
Aubergine kokt m. salt,24,1.4,2.8,0.1
Aubergine stekt m. olja el. flytande margarin salt,74,1.3,2.6,6.0
Ärtor morot kokta m. salt,52,2.9,7.7,0.3
Ärtor morot stuvade,67,2.9,7.8,2.2
Ärtpurésoppa gröna ärtor tillagad veg. ,50,1.4,3.1,2.9
Gryta kikärtsgryta grönsaksgryta veg. ,61,2.4,6.6,1.9
Gratäng m. grönsaker rotfrukter veg.,94,3.7,8.8,4.5
Grönsakssoppa m. pasta tillagad pulver,30,0.9,4.2,0.8
Löksoppa fransk tillagad pulver m. vatten,25,0.4,5.2,0.2
Grönsakssoppa tillagad klar konserv.,15,0.6,2.3,0.1
Grönsakssoppa tillagad redd pulver m. vatten mjölk,49,1.7,5.1,2.2
Grönsakssoppa tillagad redd pulver,45,0.5,5.3,2.2
Gurka inlagd,59,0.7,11.4,0.7
Bostongurka,78,1.0,16.6,0.4
Gurka fermenterad u. lag,9,1.0,1.0,0.0
Saltgurka u. lag,15,0.9,1.4,0.2
Ättiksgurka u. lag,43,0.9,8.2,0.3
Kronärtskocka kokt,52,2.8,9.4,0.2
Champinjonsoppa tillagad pulver m. vatten mjölk,56,1.6,6.5,2.6
Champinjonsoppa tillagad redd m. mjölk konserv.,64,2.2,5.5,3.7
Majskolv kokt,100,3.3,17.3,1.0
Blomkålssoppa tillagad pulver m. vatten mjölk,51,1.6,5.9,2.2
Tomatsoppa tillagad pulver m. vatten,32,1.0,4.6,0.8
Tomatsoppa tillagad konserv. m. vatten mjölk,45,1.2,6.3,1.4
Sparrissoppa tillagad pulver m. vatten mjölk veg.,50,1.4,5.9,2.3
Rödkål konserv.,72,1.5,15.0,0.2
Champinjonsås tillagad pulver m. mjölk smör,113,3.6,7.6,7.5
Grönsaker blandade fermenterade,15,1.2,1.1,0.1
Grönsaksjuice fermenterad,22,1.5,3.5,0.1
Kåldolmar råa u. sås frysvara,88,5.0,5.2,5.0
Vitkålssoppa m. fläskkorv hemlagad,47,2.2,1.6,3.4
Minestronesoppa,50,2.0,5.3,2.1
Vitkålssoppa m. frikadeller,60,3.1,2.8,3.9
Gryta får i kål,54,6.6,2.1,1.8
Kåldolmar stekta hemlagade,107,5.2,8.0,5.7
Kålpudding,117,7.3,9.5,5.2
Sallad Caesarsallad el. kycklingsallad m. dressing,301,12.3,9.5,23.8
Moussaka ugnsstekt,117,6.8,4.7,7.7
Wokgrönsaker m. nudlar kyckling,101,5.6,8.6,4.6
Kycklingsallad m. ananas paprika vitlöksdressing,75,4.4,2.4,5.2
