date_time,Date,Time,Time / Activity,type,type_text,Activity time (h:m:s),Activity (minutes),startTime,sportTime(s),maxPace(/meter),minPace(/meter),distance(m),avgPace(/meter),calories(kcal)
2024-08-29 09:42:23,2024-08-29,09:42,09:42 Walking,6,Walking,1:16:11,76.18,2024-08-29 09:42:23+0000,4571,2.1081758,0.62927765,5116.0,0.893,359.0
2024-08-29 08:08:28,2024-08-29,08:08,08:08 Walking,6,Walking,0:43:58,43.97,2024-08-29 08:08:28+0000,2638,2.1018603,0.40930045,3113.0,0.847,218.0
2024-08-29 05:06:04,2024-08-29,05:06,05:06 Walking,6,Walking,0:29:14,29.23,2024-08-29 05:06:04+0000,1754,2.0256207,0.57027656,1908.0,0.918,192.0
2024-08-29 03:10:47,2024-08-29,03:10,03:10 Walking,6,Walking,1:05:58,65.97,2024-08-29 03:10:47+0000,3958,0.0,0.19598763,4677.0,0.846,450.0
2024-08-28 14:26:25,2024-08-28,14:26,14:26 Core,50,Core,0:14:19,14.32,2024-08-28 14:26:25+0000,859,0.0,0.0,0.0,0.0,52.0
2024-08-28 13:44:38,2024-08-28,13:44,13:44 Walking,6,Walking,0:39:05,39.08,2024-08-28 13:44:38+0000,2345,3.031633,0.55922544,2643.0,0.886,211.0
2024-08-28 13:14:32,2024-08-28,13:14,13:14 Running,1,Running,0:12:08,12.13,2024-08-28 13:14:32+0000,728,0.7885167,0.29665175,2016.0,0.361,113.0
2024-08-28 12:41:53,2024-08-28,12:41,12:41 Running,1,Running,0:31:56,31.93,2024-08-28 12:41:53+0000,1916,3.2012804,0.26587313,6011.0,0.318,286.0
2024-08-28 08:08:33,2024-08-28,08:08,08:08 Walking,6,Walking,1:12:08,72.13,2024-08-28 08:08:33+0000,4328,2.1848972,0.4451596,5168.0,0.837,307.0
2024-08-28 04:30:17,2024-08-28,04:30,04:30 Walking,6,Walking,1:09:25,69.42,2024-08-28 04:30:17+0000,4165,0.0,0.46285582,5400.0,0.771,339.0
2024-08-27 14:22:48,2024-08-27,14:22,14:22 Running,1,Running,0:10:07,10.12,2024-08-27 14:22:48+0000,607,2.489885,0.16212207,2159.0,0.281,95.0
2024-08-27 13:34:43,2024-08-27,13:34,13:34 Cycling,10,Cycling,0:47:45,47.75,2024-08-27 13:34:43+0000,2865,0.0,0.0,0.0,0.0,324.0
2024-08-27 13:17:19,2024-08-27,13:17,13:17 Running,1,Running,0:11:00,11.0,2024-08-27 13:17:19+0000,660,1.1866957,0.27822983,1984.0,0.332,102.0
2024-08-27 10:38:56,2024-08-27,10:38,10:38 Walking,6,Walking,0:41:20,41.33,2024-08-27 10:38:56+0000,2480,2.824199,0.5620622,2604.0,0.952,181.0
2024-08-27 07:19:33,2024-08-27,07:19,07:19 Walking,6,Walking,1:03:58,63.97,2024-08-27 07:19:33+0000,3838,0.0,0.5794503,4462.0,0.859,401.0
2024-08-27 03:15:45,2024-08-27,03:15,03:15 Walking,6,Walking,1:29:59,89.98,2024-08-27 03:15:45+0000,5399,0.0,0.30718428,6641.0,0.812,559.0
2024-08-26 12:57:30,2024-08-26,12:57,12:57 Swimming,14,Swimming,0:55:43,55.72,2024-08-26 12:57:30+0000,3343,2.4646385,0.98928154,1300.0,2.571,372.0
2024-08-26 10:47:10,2024-08-26,10:47,10:47 Walking,6,Walking,1:41:13,101.22,2024-08-26 10:47:10+0000,6073,2.5599952,0.56892765,5549.0,1.094,465.0
2024-08-26 06:37:23,2024-08-26,06:37,06:37 Walking,6,Walking,1:02:45,62.75,2024-08-26 06:37:23+0000,3765,4.200467,0.49374187,4727.0,0.796,439.0
2024-08-26 02:56:49,2024-08-26,02:56,02:56 Walking,6,Walking,1:00:07,60.12,2024-08-26 02:56:49+0000,3607,0.0,0.27609217,4740.0,0.76,336.0
2024-08-25 11:17:37,2024-08-25,11:17,11:17 Walking,6,Walking,0:50:58,50.97,2024-08-25 11:17:37+0000,3058,2.4041085,0.3424614,3737.0,0.818,343.0
2024-08-25 07:01:19,2024-08-25,07:01,07:01 Walking,6,Walking,0:46:39,46.65,2024-08-25 07:01:19+0000,2799,2.9770286,0.4943969,3708.0,0.754,223.0
2024-08-25 03:55:24,2024-08-25,03:55,03:55 Core,50,Core,0:14:16,14.27,2024-08-25 03:55:24+0000,856,0.0,0.0,0.0,0.0,51.0
2024-08-25 03:36:29,2024-08-25,03:36,03:36 Walking,6,Walking,0:11:09,11.15,2024-08-25 03:36:29+0000,669,3.0583425,0.42870444,1006.0,0.664,62.0
2024-08-25 02:57:32,2024-08-25,02:57,02:57 Running,1,Running,0:38:47,38.78,2024-08-25 02:57:32+0000,2327,6.1556497,0.29797146,5368.0,0.433,349.0
2024-08-25 02:42:09,2024-08-25,02:42,02:42 Walking,6,Walking,0:15:11,15.18,2024-08-25 02:42:09+0000,911,2.094853,0.53794247,1010.0,0.901,97.0
2024-08-24 09:59:44,2024-08-24,09:59,09:59 Walking,6,Walking,1:15:48,75.8,2024-08-24 09:59:44+0000,4548,0.0,0.16921963,5088.0,0.893,353.0
2024-08-24 07:10:21,2024-08-24,07:10,07:10 Walking,6,Walking,0:51:07,51.12,2024-08-24 07:10:21+0000,3067,3.302782,0.518947,3724.0,0.823,288.0
2024-08-24 03:54:02,2024-08-24,03:54,03:54 Core,50,Core,0:14:13,14.22,2024-08-24 03:54:02+0000,853,0.0,0.0,0.0,0.0,55.0
2024-08-24 02:57:56,2024-08-24,02:57,02:57 Running,1,Running,0:46:02,46.03,2024-08-24 02:57:56+0000,2762,2.7457683,0.33189282,6066.0,0.455,392.0
2024-08-24 02:43:08,2024-08-24,02:43,02:43 Walking,6,Walking,0:14:40,14.67,2024-08-24 02:43:08+0000,880,5.491177,0.5644888,1004.0,0.876,68.0
